2018.03.16,04:15,8029.71,8038.01,7948.60,7977.74,543
2018.03.16,04:30,7969.19,7998.38,7955.95,7986.90,545
2018.03.16,04:45,7986.74,7986.74,7863.64,7960.13,538
2018.03.16,05:00,7961.72,8033.31,7926.12,7958.59,499
2018.03.16,05:15,7966.29,8011.42,7953.27,7991.87,350
2018.03.16,05:30,7992.68,8014.59,7960.51,8014.59,425
2018.03.16,05:45,8014.56,8071.20,8010.75,8048.19,496
2018.03.16,06:00,8048.18,8086.69,8018.99,8028.17,475
2018.03.16,06:15,8028.19,8048.62,8006.04,8029.32,409
2018.03.16,06:30,8027.17,8055.08,8005.42,8006.14,275
2018.03.16,06:45,8006.77,8029.34,7939.99,7986.08,451
2018.03.16,07:00,7986.10,8048.33,7977.53,8032.38,417
2018.03.16,07:15,8032.37,8065.65,8023.62,8047.52,361
2018.03.16,07:30,8047.60,8197.71,8047.60,8180.72,426
2018.03.16,07:45,8181.07,8183.59,8134.67,8138.21,530
2018.03.16,08:00,8147.32,8159.26,8125.07,8144.48,395
2018.03.16,08:15,8144.80,8177.61,8135.73,8172.64,522
2018.03.16,08:30,8172.65,8197.49,8164.50,8187.10,443
2018.03.16,08:45,8192.40,8195.24,8120.87,8144.22,446
2018.03.16,09:00,8144.21,8181.20,8136.92,8154.93,398
2018.03.16,09:15,8154.38,8177.33,8151.80,8158.63,440
2018.03.16,09:30,8159.47,8229.46,8153.51,8174.60,475
2018.03.16,09:45,8174.59,8180.92,8110.04,8150.42,410
2018.03.16,10:00,8150.43,8190.30,8136.38,8170.59,362
2018.03.16,10:15,8177.60,8200.22,8152.37,8187.48,327
2018.03.16,10:30,8187.49,8244.22,8184.25,8219.33,338
2018.03.16,10:45,8218.15,8259.72,8197.58,8197.75,404
2018.03.16,11:00,8198.94,8209.13,8136.92,8201.47,458
2018.03.16,11:15,8206.81,8244.51,8143.80,8148.65,425
2018.03.16,11:30,8148.17,8189.95,8136.09,8187.91,472
2018.03.16,11:45,8187.21,8194.99,8148.88,8150.43,492
2018.03.16,12:00,8150.44,8160.10,8036.72,8057.87,492
2018.03.16,12:15,8058.74,8160.85,8044.99,8135.40,430
2018.03.16,12:30,8137.58,8148.51,8112.93,8136.51,503
2018.03.16,12:45,8136.52,8140.50,8081.04,8124.22,465
2018.03.16,13:00,8133.84,8145.95,8083.98,8085.39,482
2018.03.16,13:15,8085.30,8115.78,8054.62,8106.53,459
2018.03.16,13:30,8106.37,8110.09,8035.01,8074.99,397
2018.03.16,13:45,8076.89,8081.75,8028.30,8055.67,394
2018.03.16,14:00,8055.65,8097.42,8044.17,8089.68,446
2018.03.16,14:15,8089.62,8104.99,8068.93,8084.42,405
2018.03.16,14:30,8085.23,8119.46,8080.04,8119.46,336
2018.03.16,14:45,8122.55,8160.89,8103.32,8142.78,455
2018.03.16,15:00,8147.65,8195.01,8115.85,8170.62,471
2018.03.16,15:15,8170.64,8195.45,8131.81,8141.14,350
2018.03.16,15:30,8141.17,8166.94,8106.53,8112.58,371
2018.03.16,15:45,8114.29,8148.99,8114.29,8134.64,418
2018.03.16,16:00,8137.76,8158.35,8101.90,8108.89,401
2018.03.16,16:15,8108.90,8470.33,8102.45,8470.15,326
2018.03.16,16:30,8472.99,8488.70,8387.60,8406.12,511
2018.03.16,16:45,8406.15,8437.29,8378.76,8428.31,513
2018.03.16,17:00,8428.53,8494.56,8406.15,8437.47,482
2018.03.16,17:15,8440.65,8453.99,8425.35,8447.47,341
2018.03.16,17:30,8447.74,8449.30,8384.96,8413.40,503
2018.03.16,17:45,8411.71,8425.51,8380.16,8397.19,427
2018.03.16,18:00,8396.51,8471.49,8395.12,8454.72,450
2018.03.16,18:15,8453.26,8472.24,8421.72,8455.74,382
2018.03.16,18:30,8454.61,8557.56,8431.23,8550.76,447
2018.03.16,18:45,8551.26,8553.56,8476.54,8493.22,458
2018.03.16,19:00,8493.23,8501.65,8437.44,8458.91,419
2018.03.16,19:15,8459.07,8517.28,8420.44,8496.82,449
2018.03.16,19:30,8493.06,8501.06,8467.39,8478.53,389
